time,x,y,yaw
1765547015.5653684,0.04588459322001593,5.735830260137617e-05,-0.013816508540057795
1765547015.5758295,0.046900912065215364,4.544738373649287e-05,-0.01510607559102864
1765547015.6653376,0.055958247439733155,-9.501980239440857e-05,-0.027122323873098028
1765547015.675865,0.05786529681110385,-0.00017972057449254034,-0.028370874689997386
1765547015.7257466,0.06199765529717588,-0.0006019191987672535,-0.032700432679561166
1765547015.7758477,0.057176235083405524,-0.004193092107557208,-0.031132823420823626
1765547015.8257298,0.0633569130850435,-0.004396064052641343,-0.036109990478818264
1765547015.8758388,0.0680097421842801,-0.004562955482849861,-0.04114099456654746
1765547015.9258392,0.07222967754695254,-0.004816104003733166,-0.043877805561201556
1765547015.975819,0.06781292481740459,-0.00530524658205228,-0.037641913723925266
1765547016.0257444,0.07190927650597746,-0.005429808771469792,-0.041191820183479826
1765547016.075818,0.07830209183943873,-0.005689927472757731,-0.04463333936418248
1765547016.1257555,0.07205924182740052,-0.005936732655075119,-0.05543579700302355
1765547016.1757946,0.07625587291310855,-0.006155338728563869,-0.060412187596466126
1765547016.2257214,0.08241714973215217,-0.006557258670434957,-0.06458125325733999
1765547016.2757022,0.08685707314081081,-0.006879324900297815,-0.06817364403511345
1765547016.3257616,0.09054056005337535,-0.007200998667212938,-0.07067163666555545
1765547016.375819,0.08752400982836744,-0.007692181095417465,-0.053748752264064274
1765547016.4256523,0.09222972783740312,-0.007949391955808552,-0.057787262679745544
1765547016.4851265,0.09696700457197072,-0.008233285328524768,-0.06211168324087626
1765547016.5258133,0.10045239500329725,-0.008658557951893232,-0.06441326337312508
1765547016.5757606,0.09745118422108315,-0.010186780373538882,-0.06080388517400274
1765547016.625585,0.10176525448558413,-0.01046951531896863,-0.06376905032416792
1765547016.6757784,0.10820629284668806,-0.01091783475484813,-0.06594717261318553
1765547016.7256963,0.10308751262845257,-0.010432473514183895,-0.0618523371664022
1765547016.7758503,0.10783575796990572,-0.010729013245299254,-0.06508349425412452
1765547016.865312,0.1168511265739153,-0.011344693941367183,-0.0691350367352784
1765547016.8757493,0.1178143776026837,-0.011410208009211545,-0.06956716429706246
1765547016.9653075,0.11593753693342096,-0.011926462196297512,-0.06877481060827362
1765547016.9757357,0.1171424366163881,-0.012009373357235642,-0.06922879189919698
1765547017.025663,0.12154247301917465,-0.01233187208324389,-0.07175758771156356
